Project Name,Package Name,Architecture Smell,Cause of the Smell
.,com.thealgorithms.backtracking,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllPathsFromSourceToTarget; AllPathsFromSourceToTargetTest]; [ArrayCombination; ArrayCombinationTest]; [Combination]; [FloodFill; FloodFillTest]; [KnightsTour]; [MazeRecursion; MazeRecursionTest]; [NQueens]; [Permutation]; [PowerSum; PowerSumTest]; [WordSearch; WordSearchTest]; [CombinationTest]; [PermutationTest]. LCC (Lack of Component Cohesion) = 0.67
.,com.thealgorithms.ciphers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AES]; [AESEncryption]; [AffineCipher]; [Blowfish; BlowfishTest]; [Caesar; CaesarTest]; [ColumnarTranspositionCipher]; [DES; DESTest]; [HillCipher]; [Polybius; PolybiusTest]; [ProductCipher]; [RSA; RSATest]; [SimpleSubCipher; SimpleSubCipherTest]; [SimpleSubstitutionCipher; SimpleSubstitutionCipherTest]; [Vigenere; VigenereTest]. LCC (Lack of Component Cohesion) = 0.64
.,com.thealgorithms.conversions,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
.,com.thealgorithms.conversions,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnyBaseToAnyBase]; [AnyBaseToDecimal]; [AnytoAny]; [BinaryToDecimal; BinaryToDecimalTest]; [BinaryToHexadecimal; BinaryToHexadecimalTest]; [BinaryToOctal; BinaryToOctalTest]; [DecimalToAnyBase]; [DecimalToBinary]; [DecimalToHexaDecimal; DecimalToHexaDecimalTest]; [DecimalToOctal]; [HexaDecimalToBinary; HexaDecimalToBinaryTest]; [HexaDecimalToDecimal; HexaDecimalToDecimalTest]; [HexToOct; HexToOctTest]; [IntegerToRoman; IntegerToRomanTest]; [OctalToBinary; OctalToBinaryTest]; [OctalToDecimal; OctalToDecimalTest]; [OctalToHexadecimal; OctalToHexadecimalTest]; [RgbHsvConversion]; [RomanToInteger; RomanToIntegerTest]; [TurkishToLatinConversion]. LCC (Lack of Component Cohesion) = 0.63
.,com.thealgorithms.datastructures.caches,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LFUCache; LFUCacheTest]; [LFUCache.Node]; [LRUCache; LRUCacheTest]; [LRUCache.Entry]; [MRUCache; MRUCacheTest]; [MRUCache.Entry]. LCC (Lack of Component Cohesion) = 0.67
.,com.thealgorithms.datastructures.graphs,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
.,com.thealgorithms.datastructures.graphs,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [A_Star; Graph]; [A_Star.Graph]; [A_Star.Edge]; [A_Star.PathAndDistance]; [BellmanFord]; [BellmanFord.Edge]; [BipartiteGrapfDFS]; [Graph.Node]; [Graph.Edge]; [Graph.ConnectedComponent]; [Cycle]; [Cycle.Cycles]; [dijkstras]; [FloydWarshall]; [AdjacencyListGraph]; [AdjacencyListGraph.Vertex]; [AdjacencyListGraph.Graphs]; [HamiltonianCycle; HamiltonianCycleTest]; [AdjacencyList; AdjacencyList.TopologicalSort]; [AdjacencyList.KahnsAlgorithm]; [Kosaraju; KosarajuTest]; [Kruskal]; [Kruskal.Edge]; [MatrixGraphs]; [MatrixGraphs.AdjacencyMatrixGraph]; [PrimMST]; [TarjansAlgorithm; TarjansAlgorithmTest]. LCC (Lack of Component Cohesion) = 0.84
.,com.thealgorithms.datastructures.hashmap.hashing,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GenericHashMapUsingArray; GenericHashMapUsingArrayTest]; [GenericHashMapUsingArray.Node]; [GenericHashMapUsingArrayList; GenericHashMapUsingArrayListTest]; [GenericHashMapUsingArrayList.Node]; [HashMap; Main]; [HashMap.LinkedList]; [HashMap.Node]; [HashMapCuckooHashing; MainCuckooHashing]; [Intersection]; [LinearProbingHashMap; Map; LinearProbingHashMapTest; MapTest]; [MajorityElement; MajorityElementTest]. LCC (Lack of Component Cohesion) = 0.58
.,com.thealgorithms.datastructures.heaps,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EmptyHeapException; Heap; HeapElement; MaxHeap; MinHeap]; [FibonacciHeap; FibonacciHeapTest]; [FibonacciHeap.HeapNode]; [GenericHeap]; [LeftistHeap; LeftistHeapTest]; [LeftistHeap.Node]; [MinPriorityQueue]. LCC (Lack of Component Cohesion) = 0.54
.,com.thealgorithms.datastructures.lists,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CircleLinkedList]; [CircleLinkedList.Node]; [CountSinglyLinkedListRecursion; SinglyLinkedList; SinglyLinkedListTest; CreateAndDetectLoop; MergeSortedSinglyLinkedList; SearchSinglyLinkedListRecursion]; [CursorLinkedList]; [CursorLinkedList.Node]; [DoublyLinkedList]; [DoublyLinkedList.Link]; [DoublyLinkedList.LinkOperations]; [MergeSortedArrayList]; [Merge_K_SortedLinkedlist]; [Merge_K_SortedLinkedlist.Node]; [RandomNode]; [RandomNode.ListNode]; [SinglyLinkedList.Node]; [SkipList; SkipListTest]; [SkipList.Node]; [SkipList.HeightStrategy]; [SkipList.BernoulliHeightStrategy]. LCC (Lack of Component Cohesion) = 0.75
.,com.thealgorithms.datastructures.queues,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CircularQueue]; [Deques]; [Deques.DequeNode]; [GenericArrayListQueue]; [LinkedQueue; LinkedQueueTest]; [LinkedQueue.Node]; [PriorityQueue; PriorityQueuesTest]; [Queue]; [Queue.Queues]. LCC (Lack of Component Cohesion) = 0.82
.,com.thealgorithms.datastructures.stacks,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BalancedBrackets; InfixToPostfix]; [CalculateMaxOfMin]; [DecimalToAnyUsingStack]; [DuplicateBrackets]; [LargestRectangle]; [MaximumMinimumWindow]; [NextGraterElement]; [NextSmallerElement]; [NodeStack]; [PostfixToInfix]; [ReverseStack]; [StackArray]; [StackArrayList]; [StackOfLinkedList]; [StackOfLinkedList.Node]; [StackOfLinkedList.LinkedListStack]. LCC (Lack of Component Cohesion) = 0.94
.,com.thealgorithms.datastructures.trees,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 64
.,com.thealgorithms.datastructures.trees,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AVLSimple]; [AVLSimple.Node]; [AVLTree]; [AVLTree.Node]; [BinaryTree; CheckBinaryTreeIsValidBST; CheckIfBinaryTreeBalanced; InorderTraversal; LevelOrderTraversal; PostOrderTraversal; PreOrderTraversal; SameTreesCheck; VerticalOrderTraversal; ZigzagTraversal; BinaryTreeTest; BSTFromSortedArrayTest; CheckBinaryTreeIsValidBSTTest; CheckIfBinaryTreeBalancedTest; CheckTreeIsSymmetricTest; CreateBinaryTreeFromInorderPreorderTest; InorderTraversalTest; LevelOrderTraversalTest; PostOrderTraversalTest; PreOrderTraversalTest; SameTreesCheckTest; TreeTestUtils; VerticalOrderTraversalTest; ZigzagTraversalTest; BSTFromSortedArray; CeilInBinarySearchTree; CeilInBinarySearchTreeTest; CheckTreeIsSymmetric; CreateBinaryTreeFromInorderPreorder]; [BinaryTree.Node]; [BSTIterative; BSTIterativeTest]; [BSTRecursive; BSTRecursiveTest]; [BSTRecursiveGeneric]; [BSTRecursiveGeneric.Node]; [FenwickTree]; [GenericTree]; [GenericTree.Node]; [KDTree; KDTreeTest]; [KDTree.Point]; [KDTree.Node]; [LazySegmentTree; LazySegmentTreeTest]; [LazySegmentTree.Node]; [LCA]; [Main]; [Main.NRKTree]; [TreeNode; TreeNode.QItem; TreeNode.Tree]; [TreeNode.PrintTopViewofTree]; [RedBlackBST]; [RedBlackBST.Node]; [SegmentTree]; [TreeRandomNode]; [TreeRandomNode.Node]; [TrieImp]; [TrieImp.TrieNode]. LCC (Lack of Component Cohesion) = 0.47
.,com.thealgorithms.divideandconquer,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BinaryExponentiation; BinaryExponentiationTest]; [ClosestPair]; [ClosestPair.Location]; [SkylineAlgorithm]; [SkylineAlgorithm.Point]; [SkylineAlgorithm.XComparator]; [StrassenMatrixMultiplication; StrassenMatrixMultiplicationTest]. LCC (Lack of Component Cohesion) = 0.78
.,com.thealgorithms.dynamicprogramming,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 49
.,com.thealgorithms.dynamicprogramming,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BoardPath]; [BoundaryFill]; [BruteForceKnapsack]; [CatalanNumber; CatalanNumberTest]; [ClimbingStairs; climbStairsTest]; [CoinChange]; [CountFriendsPairing]; [DP]; [DyanamicProgrammingKnapsack]; [EditDistance]; [EggDropping; EggDroppingTest]; [Fibonacci]; [FordFulkerson]; [KadaneAlgorithm]; [Knapsack]; [KnapsackMemoization; KnapsackMemoizationTest]; [LevenshteinDistance; LevenshteinDistanceTests]; [LongestAlternatingSubsequence]; [LongestCommonSubsequence]; [LongestIncreasingSubsequence]; [LongestPalindromicSubsequence]; [LongestPalindromicSubstring]; [LongestValidParentheses]; [MatrixChainMultiplication]; [MatrixChainMultiplication.Matrix]; [MatrixChainRecursiveTopDownMemoisation]; [MinimumPathSum; MinimumPathSumTest]; [MinimumSumPartition]; [NewManShanksPrime]; [OptimalJobScheduling; OptimalJobSchedulingTest]; [PalindromicPartitioning]; [PartitionProblem; SubsetSum; PartitionProblemTest]; [RegexMatching]; [RodCutting]; [ShortestSuperSequence]; [SubsetCount; SubsetCountTest]; [Sum_Of_Subset]; [UniquePaths]; [WineProblem]. LCC (Lack of Component Cohesion) = 0.8
.,com.thealgorithms.maths,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 162
