Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
.,com.thealgorithms.backtracking,ArrayCombinationTest,testNBeingZeroOrLess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.backtracking,ArrayCombinationTest,testLengthOne,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.backtracking,ArrayCombinationTest,testLengthTwo,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.backtracking,ArrayCombinationTest,testLengthFive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.backtracking,CombinationTest,testLengthOne,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.backtracking,CombinationTest,testLengthTwo,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.backtracking,MazeRecursionTest,testMaze,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.backtracking,MazeRecursionTest,testMaze,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.backtracking.MazeRecursion.setWay2; com.thealgorithms.backtracking.MazeRecursion.setWay
.,com.thealgorithms.backtracking,PermutationTest,testMultipleElements,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.ciphers.a5,LFSRTest,getClockBit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.ciphers.a5,LFSRTest,getClockBit,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.ciphers.a5.LFSR.getClockBit; com.thealgorithms.ciphers.a5.LFSR.initialize
.,com.thealgorithms.ciphers,CaesarTest,caesarBruteForce,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.conversions,BinaryToDecimalTest,testBinaryToDecimal,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.conversions,BinaryToDecimalTest,testNegativeBinaryToDecimal,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.conversions,BinaryToDecimalTest,testLargeBinaryToDecimal,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.conversions,BinaryToHexadecimalTest,testBinaryToHexadecimal,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.conversions,BinaryToOctalTest,testBinaryToOctal,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.conversions,DecimalToHexaDecimalTest,testDecimalToHexaDecimal,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.conversions,HexaDecimalToBinaryTest,testHexaDecimalToBinary,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.conversions,HexaDecimalToDecimalTest,testhexaDecimalToDecimal,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.conversions,HexToOctTest,testHexToOct,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
