Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
.,com.thealgorithms.backtracking,PowerSumTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.backtracking.PowerSum
.,com.thealgorithms.backtracking,WordSearchTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.backtracking.WordSearch
.,com.thealgorithms.ciphers.a5,A5Cipher,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.ciphers.a5.A5KeyStreamGenerator
.,com.thealgorithms.ciphers.a5,A5KeyStreamGenerator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.ciphers.a5.LFSR
.,com.thealgorithms.ciphers.a5,LFSRTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.ciphers.a5.LFSR
.,com.thealgorithms.ciphers,ColumnarTranspositionCipher,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ABECEDARIUM
.,com.thealgorithms.ciphers,BlowfishTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.ciphers.Blowfish
.,com.thealgorithms.ciphers,CaesarTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.ciphers.Caesar
.,com.thealgorithms.ciphers,DESTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.ciphers.DES
.,com.thealgorithms.ciphers,RSATest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.ciphers.RSA
.,com.thealgorithms.ciphers,SimpleSubCipherTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.ciphers.SimpleSubCipher
.,com.thealgorithms.ciphers,VigenereTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.ciphers.Vigenere
.,com.thealgorithms.conversions,HexaDecimalToBinaryTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.conversions.HexaDecimalToBinary
.,com.thealgorithms.datastructures.buffers,CircularBufferTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.buffers.CircularBuffer
.,com.thealgorithms.datastructures.graphs,FloydWarshall,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INFINITY
.,com.thealgorithms.datastructures.graphs,HamiltonianCycleTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.graphs.HamiltonianCycle
.,com.thealgorithms.datastructures.graphs,KosarajuTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.graphs.Kosaraju
.,com.thealgorithms.datastructures.graphs,TarjansAlgorithmTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.graphs.TarjansAlgorithm
.,com.thealgorithms.datastructures.hashmap.hashing,HashMap.LinkedList,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
